@relation trainfeatures

@attribute instance_id string
@attribute repetition numeric
@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute J numeric
@attribute K numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute O numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute U numeric
@attribute V numeric
@attribute W numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute AA numeric
@attribute AB numeric
@attribute AC numeric
@attribute AD numeric
@attribute AE numeric
@attribute AF numeric
@attribute AG numeric
@attribute AH numeric
@attribute AI numeric
@attribute AJ numeric
@attribute AK numeric
@attribute AL numeric
@attribute AM numeric

@data
LnYngfyNvdEhnVUBQwZV,1,-3.05273,2.138045,1.059875,-0.751749,-1.561267,-1.497639,-0.637002,-0.331788,0.573007,2.482768,0.391827,-0.52581,-0.072091,-1.181334,0.757904,-0.460732,0.349586,-0.473836,-0.800385,0.556928,0.372411,0.295434,-0.013906,-0.799747,-0.187288,0.88309,-0.035623,0.032381,-0.967268,0.156662,0.221069,-0.70204,0.331907,0.244377,-0.548126,0.259647,0.346137,-0.240954,-0.301607
aSvNbQEQSMuzwYaUOILA,1,-3.385935,4.096217,1.371773,0.255235,0.110938,-2.137994,2.190675,-1.656331,2.531816,2.465392,1.687637,-0.960392,1.831376,-0.829618,-0.059059,0.86543,1.157161,-1.169388,0.054293,0.189684,0.540437,0.142292,1.880833,1.050992,0.61705,-1.6222,0.399378,-0.291584,1.062367,0.332003,-0.18489,-0.142735,-0.154876,0.291405,0.312133,0.410633,-0.849573,0.160872,0.257815
duDIOOvrEhepfWONjTbH,1,-0.993623,-0.150911,3.287545,-1.342728,1.208381,0.526333,1.798921,-1.402699,1.143512,-1.251546,2.950335,0.418427,-1.574613,0.010002,-0.846536,0.306469,0.050962,-0.276286,1.136222,0.804757,-0.040984,-0.045357,0.008574,-0.500241,0.26573,-0.412868,0.130287,0.440164,-0.622693,0.421538,0.31193,0.042582,-0.034355,-0.412161,0.126165,-0.628785,-0.189199,0.224706,-0.128768
JjPieGiGCGxITrxnsdae,1,4.230741,3.586458,0.106869,0.606996,1.429608,0.37143,-1.173835,-0.332446,-2.088512,2.281825,0.224636,1.384068,-0.236304,0.475238,1.338871,-0.968696,0.271385,0.145213,-0.112499,0.150073,0.599865,0.677765,-1.339917,-0.522054,0.39572,0.189728,-0.304039,0.210054,-0.628656,-0.078994,-1.250124,0.017974,0.383534,0.819917,0.089927,0.273224,0.241055,0.106517,-0.269912
GKQbyiMpmSKnXJmRpAcR,1,-0.375363,-6.937262,-4.641611,-0.662647,3.807051,-3.515362,-5.421537,-5.080305,0.593133,-0.449043,0.716595,0.209156,-2.000726,-0.10629,0.439253,2.165457,0.411137,0.64901,-0.124411,-2.396672,1.859568,-0.003823,0.665169,0.665197,0.855929,0.580385,-0.461484,1.115412,1.140746,-0.703873,0.112767,-0.50436,-0.117597,1.051329,0.340309,0.418428,-0.242702,-0.339316,0.133705
TajTUMvMbDtWruflzABx,1,3.493399,-2.540876,-0.43196,-0.088717,0.253498,0.624208,-2.170177,-0.620101,-0.069722,0.18011,-0.188908,0.32865,1.283812,-0.866924,0.461779,1.143374,0.978303,-0.772721,1.352398,-0.632563,-0.956806,-0.685772,-1.961285,0.187291,1.003659,-0.253358,1.206997,0.614278,-0.495084,0.641562,0.640626,-0.597724,-0.40344,0.528081,1.2959,0.50443,-0.190199,0.287091,0.377453
AMLTBrjqvsjOgDykEhzo,1,3.559816,-2.921323,-0.937778,0.535802,0.282757,0.109296,-3.020566,-1.230277,1.576592,1.394023,-1.003222,-0.53034,-0.375759,-1.136291,0.396789,-0.189154,0.956187,-1.412123,1.31949,0.195296,-0.663226,0.215067,-2.061487,0.278444,0.64649,-0.822616,2.09673,0.597022,-1.33759,0.831047,0.686602,0.415497,-0.254172,-1.12066,1.093623,-0.669401,0.165078,0.664592,0.443237
sqxzLKjOhDFBUvroMnFv,1,-1.100496,-0.005968,3.198311,-1.39262,1.329257,0.487624,1.709655,-1.515338,1.108124,-1.193127,2.934696,0.444795,-1.627787,0.163033,-0.812418,0.280457,0.001359,-0.378966,1.010447,0.801933,-0.084319,0.044648,0.085353,-0.469809,0.249977,-0.359466,0.103328,0.451824,-0.60926,0.368358,0.415043,0.052031,-0.01887,-0.454828,0.082415,-0.626802,-0.191151,0.196633,-0.178057
EdGpMJfkNaGNnFHqKcMi,1,-5.933647,1.040392,2.858231,-2.636449,-1.105301,0.463637,0.857197,0.072504,1.160547,0.868895,0.091735,-1.130898,-0.881671,1.116552,-0.79488,-0.506805,-0.521309,0.491672,0.205925,0.548483,0.213027,0.162768,0.186013,-0.085501,-0.092671,-0.414922,0.216582,0.172327,-0.379465,0.137792,0.160089,-0.013021,-0.048418,-0.177983,0.136594,-0.502475,0.158585,0.004161,-0.313151
puBfOOzaWCsHhutLItSG,1,2.8913,1.034314,0.453183,0.398984,-2.005913,1.359506,-2.09933,-0.368371,1.604188,0.450116,-0.848688,-0.221988,-1.020412,-2.016069,-0.599438,-0.667954,0.174862,-0.963933,-0.232478,0.834469,0.54064,0.201365,-0.412983,0.395203,0.000851,-0.78969,0.065383,0.048892,-0.405107,0.710827,0.34886,-0.08074,-0.095928,-0.038471,0.188385,-0.018901,0.104133,0.568599,-0.099524
TxhQlbwNKLlCwEzdUNqC,1,6.759764,-0.766439,-7.774943,-3.236821,-1.778414,-2.167639,2.761901,-0.311706,-0.019044,0.027291,-0.57541,-0.09067,-0.805842,-0.249781,1.220785,1.489162,-2.893533,-0.804587,1.975961,1.303475,1.02132,-2.218361,1.345961,2.087234,-0.721348,1.887884,0.41831,-0.180084,1.609201,-2.434844,0.180095,-2.006845,0.163388,-0.9352,0.779398,-0.189585,1.131073,-0.916713,-0.85401
iwLfvMqKrkjLHssONRFt,1,1.706413,2.439339,-4.454915,6.384958,-2.608887,1.817455,0.172651,0.704373,1.31697,0.491492,1.092429,-0.183848,0.359403,1.693576,-0.863582,0.778518,0.586332,0.39147,0.94999,-0.497642,0.561534,-0.742325,-0.974309,0.333458,-0.006239,-1.676591,-1.120171,-1.014014,-0.204469,-0.227246,-0.407924,0.033688,0.104514,0.504187,0.473163,-0.288965,0.134207,0.543641,-0.349367
OrvdFmACqNjLscNSFNjC,1,-6.955613,2.289543,1.458718,-3.527485,-0.283379,1.247727,-0.108088,-0.069695,1.662428,0.823437,-1.152221,-1.397663,-0.816756,1.421432,-0.910043,-0.518906,-0.657553,0.860379,0.125302,0.656004,-0.262223,0.188446,-0.100677,0.084425,-0.258392,-0.039111,0.649934,0.334285,-0.085051,-0.278485,-0.207935,0.242631,-0.101011,0.124249,0.067451,0.194693,0.017157,-0.071231,-0.193636
cbwgYJfJhlpUTzEBIVqD,1,-1.57971,0.221609,0.999962,0.41178,-3.573201,-0.326624,-0.692987,0.25918,-0.606695,-2.05149,-1.523867,0.554185,0.221766,-0.236034,0.209538,0.465737,-0.279992,0.281698,0.110966,-0.28702,-0.193986,0.279076,0.530216,-0.101503,-0.276394,0.121694,-0.195098,-0.159587,0.177653,0.144703,0.049397,-0.019121,-0.113555,0.112195,0.120363,-0.071133,-0.30443,0.299427,0.140374
wKNZceLugVetVoePnvMU,1,-6.4952,1.60192,0.689028,-3.463586,-0.89287,1.459609,-0.882677,1.689584,-2.368487,-0.112065,2.177514,1.158151,-0.340309,0.468577,-0.230378,0.146838,0.166939,-0.15702,-0.133567,-0.826834,0.058869,-0.395599,-0.206758,0.371365,-0.02406,0.122212,-0.761351,-0.066626,0.176367,0.046186,0.380918,-0.247328,-0.072163,0.042835,0.360925,-0.372288,0.50363,0.3221,0.11676
nCCqrWhrxeIXviPpvNWm,1,-0.57409,0.772266,2.276077,-0.16184,-2.363702,-0.403249,-0.899015,0.269178,1.055716,1.267791,-1.119803,-0.470692,-1.857023,-2.510301,0.013875,-1.208005,-0.218806,-0.08091,-1.304456,0.407499,-0.004802,-0.000474,-0.178392,-0.231258,-0.205202,0.714953,-1.0335,-0.150549,-0.185732,0.723936,0.290858,-0.646723,0.016724,0.057627,-0.439348,-0.179247,0.675518,0.296564,0.202657
RTYqymGlUFsRVVlPxpmN,1,4.858093,1.127426,-0.355425,0.057397,0.924288,-0.15692,-2.955787,-1.230552,0.157465,0.715149,-1.114191,-0.861628,-1.101221,0.08171,0.818304,-0.936875,0.523865,-1.644309,2.044954,1.102752,0.099988,0.210715,1.133266,-0.983584,-0.087742,1.336934,-1.175453,1.006367,-0.225526,-0.830683,-0.41166,-0.904521,-0.609416,0.49507,0.277517,-0.253178,0.277681,0.177946,0.885739
WMLlAfzzkEbyJBXzxSAd,1,-7.208449,2.521957,1.094582,-3.704241,-0.010977,1.598134,-0.290866,0.006892,1.804781,0.755977,-1.581857,-1.484259,-0.837637,1.430211,-0.92428,-0.492357,-0.699926,0.963845,0.087787,0.628541,-0.387949,0.206319,-0.190893,0.122721,-0.287371,0.103637,0.803021,0.376928,0.035509,-0.378702,-0.331898,0.306276,-0.116827,0.197639,0.08751,0.394377,-0.104861,-0.088284,-0.065971
NkaQtUDuGmXipuCiyKYi,1,4.135876,-1.025789,5.329983,2.874523,2.975657,1.190316,4.079381,0.348715,-4.305436,-1.885584,-1.61568,-2.617351,0.181343,-0.200413,-2.419008,1.776284,-0.717583,0.265915,-0.328129,-0.909547,0.253075,0.039455,-0.627687,1.559613,0.286007,0.479641,0.172873,0.235235,-0.085073,-0.69701,-0.011437,0.937123,0.012755,-0.300829,-0.846083,0.105298,-0.371366,0.204071,-0.123866
LmBpNymaZNTIMmnujgjR,1,6.057227,2.22274,-0.95209,-3.679651,2.353332,-5.037924,-2.675465,5.672037,2.703537,-4.711597,1.476115,-2.683725,1.402981,1.460609,1.025382,-1.373954,1.27082,-0.402187,-0.511917,-0.632829,1.74933,-1.505674,-0.333542,-1.5118,1.19018,0.152681,0.662607,-0.402683,-0.308337,0.479176,0.178407,0.40802,-0.348077,0.292286,0.214395,0.202369,-0.254761,0.238504,0.369737
nImesglooLUdEPYywlAi,1,-6.888071,1.329928,1.693065,-2.408017,-0.889627,-0.985831,0.551054,0.598808,-1.964388,-0.488747,2.15546,-0.056401,-1.562647,0.96177,-0.035372,0.217193,-0.140316,0.319381,0.433792,-0.145741,-0.764338,0.145332,0.427961,-0.37858,-0.118712,0.158125,0.05077,-0.216002,-0.079742,0.564296,0.456039,-0.592962,-0.174173,0.265041,0.583325,0.256998,0.435433,-0.225776,-1.272156
ZMNbMFmfuQGMFousBjoL,1,-0.484783,-4.977409,0.046428,-0.095303,1.179208,-1.775761,-1.0971,-1.48183,1.213912,0.876506,-0.093825,-1.570299,-0.09106,-0.215001,1.290407,2.092116,1.256558,-0.279757,1.84751,-1.015013,-3.073041,-1.388112,-1.039594,-0.565221,2.102018,0.591198,-1.028673,0.029754,1.150999,1.042592,0.21317,-0.800038,0.124655,0.42532,-0.39092,-0.036606,0.448381,0.062055,-0.536424
ynXMjrMmZiEbZdIKsTQU,1,0.907938,-8.117267,0.466263,-1.581694,2.264719,1.092836,-0.647641,-1.698619,1.296483,-0.049747,1.213887,1.68356,2.231843,0.11518,-1.062945,-0.563682,-0.579448,0.53192,-0.592666,1.651455,1.0088,-0.51574,0.788308,-1.225621,0.141406,0.070372,-0.631971,-0.177937,-0.362097,-0.23334,-0.338374,-0.029185,-0.213902,-0.162443,-0.518069,0.554948,-0.026641,0.852046,0.502335
SjATcnVGszNTQDUzoPCI,1,0.471835,2.121899,0.162159,1.915707,-1.01952,-0.140068,0.421108,-0.386587,-1.284297,0.665322,-1.27859,-0.09992,-0.217198,0.379857,1.831368,-0.755874,0.115808,0.042904,-0.439188,-0.430885,0.586957,-0.184063,0.302248,0.133123,0.155206,-0.061491,0.509275,-0.506548,0.696651,0.662882,1.872729,-0.104568,0.642153,-0.242863,0.595974,0.234467,0.798212,-0.163934,0.201491
OWWqCkgfNYmLvyaivHpa,1,5.908957,2.576731,-0.4797,-2.27673,1.761794,-2.820458,-0.968508,4.57307,1.166665,0.154152,-0.377511,1.981033,-0.297059,1.188829,-1.141768,1.909612,-2.295624,-1.261701,1.301888,0.299593,0.751212,3.608622,-0.566462,-0.967648,1.617508,0.076494,-0.845562,-0.122906,0.09512,0.091904,-0.640233,0.755459,0.576511,-0.081617,0.510831,-0.013215,-0.319049,0.321705,0.201841
IpcEcOjfFaqUlJspAlDa,1,-1.710414,0.382943,0.818446,0.3656,-3.566182,-0.343696,-0.927964,0.273108,-0.580064,-1.856403,-1.674634,0.4642,0.234444,-0.230744,0.122785,0.481583,-0.335971,-0.060031,-0.162713,-0.330868,-0.357029,0.274066,0.646227,0.061193,-0.347231,0.037417,-0.203236,0.003947,0.229746,-0.030748,0.296099,-0.080915,-0.214523,-0.027469,0.007903,-0.075182,-0.427391,0.268503,0.061639
herkFCUGQfIOJDbHTLok,1,3.399764,5.127635,0.981937,-2.563153,3.0835,-3.906498,2.516168,-1.227717,0.903029,3.27606,-3.724513,8.404359,-4.39573,4.241168,4.328908,-2.492863,2.749929,-0.016358,-0.713716,2.435771,0.759336,-9.802125,5.08918,7.000285,4.095937,3.729754,2.95546,-6.376421,-6.323978,1.947372,2.203111,5.190159,-5.114916,5.259277,-3.967728,-3.809397,-2.839168,0.952984,1.251874
AVNeiFhzmPxYBSOAnzXq,1,4.813849,1.172272,-0.344134,0.133206,1.064286,0.019865,-2.935759,-1.329114,0.217621,0.844911,-1.304677,-0.474013,-1.228168,0.468336,1.350581,-1.490094,0.888465,-1.466834,2.085742,1.159266,0.174224,0.181017,1.24728,-0.940862,-0.167889,1.548196,-1.283192,1.09008,-0.133129,-0.639521,-0.200465,-0.855426,-0.221029,0.595408,0.351292,-0.144582,0.278584,0.268537,0.881728
tVAfBkOoHQqwlCXFNcMh,1,-6.692599,2.139454,0.233292,-3.56747,-0.590148,1.926413,-1.212248,2.173091,-2.807829,0.686489,2.421176,1.56996,-0.011771,-0.05541,0.1111,0.021279,0.488564,-0.661899,-0.452607,-1.302708,0.457132,-0.793429,-1.124144,0.56223,0.110809,0.634946,-0.753341,-0.024981,0.14578,-0.464206,0.094088,-0.040694,0.0756,0.03671,0.151497,-0.174994,0.371186,0.0602,0.352919
IpTGXkxydKskXfurxrZP,1,0.78105,-7.324441,0.884509,-0.801266,0.899139,1.496899,-0.270461,0.666463,1.574847,1.385592,1.078253,-0.41511,1.664346,0.361495,-0.601533,0.412921,0.225763,-0.313168,1.717736,0.364505,-1.905297,-0.565694,1.035327,-0.787284,-0.453377,0.939597,-0.815349,-0.712198,0.977015,-1.071439,-0.557098,0.222259,-0.237067,0.11832,0.183759,-0.82385,-0.507623,0.037429,-0.35194
DxRURHDZkWKtwseKtXBg,1,-5.633369,-3.487279,-4.097308,4.31246,0.073123,-5.06069,-0.196483,-0.899174,-0.774675,0.867989,-1.981661,-0.256663,2.121841,-0.34816,0.749404,-0.917525,0.25017,-0.545606,-0.93485,0.738929,-0.511739,-0.38689,-2.103538,-0.052799,1.575831,-0.192651,0.409771,0.629013,-0.360937,-0.15028,-0.37339,-0.041902,0.434643,-0.203739,0.127956,-1.425044,0.891791,0.937832,0.755654
AzTwvdRZtddGgiIbLdun,1,2.808346,1.80711,0.885936,0.049982,0.595362,0.333873,-1.018622,0.202332,-2.126807,1.439573,-0.661102,-0.167428,0.231296,1.258442,2.016814,-2.379368,0.895024,1.247555,0.168927,0.01974,0.65129,-0.342413,0.576872,-0.279651,0.045168,-0.717545,0.01392,0.526134,-0.058638,1.251944,-0.675623,-0.95325,-0.189267,0.1143,-0.406746,0.335882,0.012953,0.585617,0.032112
KFOeAxdQHgwuKYgSvylA,1,-1.708621,0.181907,1.210562,0.311118,-3.445384,-0.413544,-0.584935,0.21532,-0.532213,-1.764118,-1.42736,0.495143,0.222803,-0.288319,0.172497,0.333542,-0.246903,0.214791,0.021254,-0.216973,-0.127272,0.185217,0.356729,-0.084363,-0.260603,0.062637,-0.279546,-0.101325,0.018626,-0.037203,0.011984,-0.11873,-0.104135,0.232699,0.167904,-0.113736,-0.143996,0.254428,0.049777
ipUPecaUNRlzGmclxCeM,1,-4.702056,3.763602,1.12851,-0.732454,-1.090714,-1.123345,0.491042,-0.0402,1.138808,3.482757,0.66891,-0.654414,0.432878,-2.394438,0.632264,-0.363711,1.004731,-1.279111,-1.526179,0.112486,1.174753,0.086741,1.328595,0.437558,1.001451,0.651424,1.091514,-0.526431,1.924967,0.718836,-0.14767,0.32164,-0.29776,-0.804407,-0.334462,1.040282,-0.996836,-0.578503,0.26341
wxApdcjebQxuxuLWGwcr,1,7.639654,-2.960393,-7.233524,-6.057685,-3.497496,1.860908,2.324265,-2.391299,-0.362019,-0.644164,0.450604,0.476953,1.909272,-0.942208,0.315438,-0.493595,0.078443,1.37458,0.343729,1.579872,0.281788,1.856896,-1.329003,0.065915,-0.056573,-1.303867,1.398621,0.296808,0.909706,-0.589391,1.925639,0.236073,-2.223082,0.765275,1.093427,0.547526,1.315922,0.564831,-0.009802
iCGhDlRtoMLLtDSzzDps,1,-7.555529,-13.248644,-0.028476,5.902788,0.475836,-2.30579,5.393355,4.773549,-3.594603,-0.265953,-0.204961,-1.656119,-3.721218,-0.603732,-0.035034,-2.414596,-1.221567,0.218667,-0.318221,1.863153,1.331787,0.356711,-0.423599,-1.315123,0.776556,-0.942304,1.220279,-1.035215,-0.273597,0.654769,-0.551726,-0.647504,0.069752,0.631362,1.156804,-0.260813,0.576039,-0.102,0.3566
bDFPchtojeebwtGsOpnv,1,2.11045,4.622794,2.903898,-0.769856,2.644327,-1.940762,0.085085,-3.392617,-1.168086,0.31308,-0.035252,-0.511064,0.007698,-0.469151,-1.02014,-0.043758,0.620026,0.359375,-0.859183,0.706702,0.002187,-0.786436,0.920962,-0.762326,1.032225,-0.647504,0.381485,-1.220446,1.175762,0.09616,-0.162214,-0.984105,-0.175059,0.0541,0.990132,-0.089938,0.043551,-0.570552,0.790334
rBYGIptRygrSsGscTrrF,1,-1.772988,-3.898658,6.66494,2.446172,-0.791964,0.500742,5.992246,3.449656,0.927681,2.423748,-0.452065,-1.605634,-3.095865,-2.917837,1.086836,-0.748921,0.076237,-0.255327,-0.996934,-0.151909,1.572475,0.043795,-0.609386,-0.614838,0.161025,1.118492,-0.227599,0.507447,-0.289633,0.083509,-0.242185,-0.500877,0.27915,0.427486,-0.612033,0.078656,0.522617,0.774372,0.210384
bvoPEiPQNCIepUfQqBjb,1,-4.701013,-1.844241,-3.242856,4.382719,-0.911398,-4.303024,0.294871,0.561342,-0.165603,2.312809,-1.301098,-1.694894,1.551718,0.187486,1.184769,-0.580244,0.658799,-1.323245,1.734441,0.138282,-0.981893,-0.140243,-1.286604,-0.760238,0.201956,0.816081,-0.26481,-0.026847,-0.207226,-1.204452,-0.584904,0.547359,0.002869,-0.121381,0.27069,-1.382385,0.118911,1.259931,0.325496
OxJKJyglTmbsLewLIUzM,1,3.335404,-0.951995,4.527771,2.716405,2.527952,1.62389,4.191082,0.503148,-0.964097,-2.567345,-1.69847,1.592509,-1.330718,3.286014,3.30292,-2.166532,1.976783,-0.045609,-0.720748,-0.890541,-0.229728,-0.433654,0.660443,1.512153,-0.432112,-0.205253,0.183738,0.950103,0.902528,-0.220712,-0.781124,0.345148,-0.519819,-0.771778,-0.813412,0.033164,0.039311,0.090836,-0.445236
atLXRKeCEcghvGuJEdTB,1,-2.110245,0.573988,0.814355,-0.0533,-3.427656,-0.520248,-1.033594,0.101483,-0.646932,-1.793127,-1.350534,0.467853,0.130943,-0.174023,0.088991,0.34246,-0.265093,0.184768,-0.008825,-0.054313,-0.323554,0.326937,0.729166,-0.142225,-0.220711,0.010968,-0.236207,-0.105114,0.075867,0.054434,0.10996,-0.129035,-0.141354,0.173144,0.127677,-0.095583,-0.088463,0.269992,-0.006856
WDQCyeSFzjbDdOFpogyC,1,-0.973904,3.91063,-3.345976,3.351549,-2.531911,2.029201,0.216871,1.4652,0.28552,1.01332,-0.220814,0.011321,0.197534,-2.76106,1.471226,1.121303,0.370451,1.364771,-2.322331,-0.390781,0.817501,0.43735,0.387146,-1.505597,-0.57842,1.504545,0.670455,-1.599298,-0.432132,2.93641,0.50334,-0.514778,-0.208806,-0.279524,-0.068018,-1.517668,-0.339718,1.248454,-1.569546
vrPUCAjIKWiwlewKHGFD,1,8.507307,3.615328,2.223329,-0.848057,5.73056,-2.708123,-2.031011,3.233212,-7.274042,3.537592,-3.453197,-2.056003,2.332705,-0.378459,-6.438334,1.194262,1.40851,5.241884,2.467778,0.603012,1.102893,-1.274297,0.757603,-1.439546,-0.669424,-1.184319,-0.548558,0.765271,0.813185,1.254448,0.818388,0.501664,-0.004018,-0.421647,0.50459,0.039646,0.370996,0.543413,-1.338594
qEmbZXTHgiOzvEQxSdya,1,4.841817,2.760273,0.487694,0.701978,1.638008,0.927659,-1.20423,-0.576629,-2.833153,0.884951,0.13442,-1.271019,0.587734,0.506814,-0.676663,0.308914,-0.608725,0.348699,0.193432,-0.402327,-0.095033,0.072056,-0.107231,-0.47021,0.703688,-1.07106,0.069714,-0.977718,-0.900919,-0.256595,-0.263775,-0.194383,0.618645,0.028684,0.274097,-0.021928,-0.047932,-0.729413,0.503576
pjkfNPrnTwlIPPAjIIVg,1,-3.119485,1.738386,0.508633,-0.343539,-2.06939,0.196385,-0.625841,0.42841,1.011457,1.422394,-0.693739,-0.683757,-0.353795,-1.234684,0.106601,-0.396686,0.128267,-0.381425,-0.554761,0.147377,0.46284,0.081356,0.774877,0.439905,-0.144657,0.487486,-0.081273,-0.408069,0.89354,0.484661,0.361773,-0.35939,0.425941,-0.22277,-1.499285,0.923788,-0.369673,-0.711631,-0.002314
qFyVhcKUmlunXjMIWTqA,1,11.54067,-3.106342,-15.79893,-14.948076,-8.136605,0.09333,13.746444,-4.498159,-2.388413,0.415241,-1.529386,-2.84861,-1.090179,0.138622,-3.453212,-3.476231,5.673987,-0.886119,-1.711763,-3.727557,-0.993977,2.787691,-0.602693,-2.102692,0.343765,0.123254,-1.459247,0.130003,0.004726,-0.181149,-0.310641,-0.355297,0.754865,-0.755823,-0.306529,-0.27395,-0.913717,-0.047826,-0.177711
