@relation trainruns

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok,timeout,memout,not_applicable,crash,other}

@data
QaZRMOKgTpsnrhXEuHBB,1,gnoveltyp2,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,sattime,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,sattimep,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,clasp2,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,clasp1,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,picosat,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,mphaseSAT,501.23,ok
QaZRMOKgTpsnrhXEuHBB,1,sapperlot,1200,timeout
QaZRMOKgTpsnrhXEuHBB,1,sol,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,ebglucose,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,ebminisat,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,glucose2,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,glueminisat,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,lingeling,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,lrglshr,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,minisatpsm,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,mphaseSAT64,825.59,ok
vQdqkIfkvTkdWnRrlHxw,1,precosat,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,qutersat,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,rcl,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,restartsat,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,cryptominisat2011,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,spear-sw,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,spear-hw,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,eagleup,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,sparrow,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,marchrw,30.46,ok
vQdqkIfkvTkdWnRrlHxw,1,mphaseSATm,130.39,ok
vQdqkIfkvTkdWnRrlHxw,1,satime11,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,tnm,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,mxc09,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,gnoveltyp2,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,sattime,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,sattimep,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,clasp2,1127.2,ok
vQdqkIfkvTkdWnRrlHxw,1,clasp1,965.85,ok
vQdqkIfkvTkdWnRrlHxw,1,picosat,631.13,ok
vQdqkIfkvTkdWnRrlHxw,1,mphaseSAT,752.26,ok
vQdqkIfkvTkdWnRrlHxw,1,sapperlot,1200,timeout
vQdqkIfkvTkdWnRrlHxw,1,sol,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,ebglucose,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,ebminisat,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,glucose2,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,glueminisat,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,lingeling,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,lrglshr,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,minisatpsm,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,mphaseSAT64,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,precosat,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,qutersat,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,rcl,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,restartsat,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,cryptominisat2011,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,spear-sw,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,spear-hw,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,eagleup,974.06,ok
ISXwlVbKMmIkBlaGxeVk,1,sparrow,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,marchrw,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,mphaseSATm,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,satime11,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,tnm,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,mxc09,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,gnoveltyp2,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,sattime,969.5,ok
ISXwlVbKMmIkBlaGxeVk,1,sattimep,189.97,ok
ISXwlVbKMmIkBlaGxeVk,1,clasp2,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,clasp1,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,picosat,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,mphaseSAT,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,sapperlot,1200,timeout
ISXwlVbKMmIkBlaGxeVk,1,sol,1200,timeout
InQYNZwvfKcEioYyflpY,1,ebglucose,561.39,ok
InQYNZwvfKcEioYyflpY,1,ebminisat,1104.3,ok
InQYNZwvfKcEioYyflpY,1,glucose2,765.33,ok
InQYNZwvfKcEioYyflpY,1,glueminisat,291.55,ok
InQYNZwvfKcEioYyflpY,1,lingeling,301.23,ok
InQYNZwvfKcEioYyflpY,1,lrglshr,97.3,ok
InQYNZwvfKcEioYyflpY,1,minisatpsm,1201,timeout
InQYNZwvfKcEioYyflpY,1,mphaseSAT64,296.68,ok
InQYNZwvfKcEioYyflpY,1,precosat,185.45,ok
InQYNZwvfKcEioYyflpY,1,qutersat,201.27,ok
InQYNZwvfKcEioYyflpY,1,rcl,1200,timeout
InQYNZwvfKcEioYyflpY,1,restartsat,1201,timeout
InQYNZwvfKcEioYyflpY,1,cryptominisat2011,285.5,ok
InQYNZwvfKcEioYyflpY,1,spear-sw,1200,timeout
InQYNZwvfKcEioYyflpY,1,spear-hw,1200,timeout
InQYNZwvfKcEioYyflpY,1,eagleup,1200,timeout
InQYNZwvfKcEioYyflpY,1,sparrow,1200,timeout
InQYNZwvfKcEioYyflpY,1,marchrw,1200,timeout
InQYNZwvfKcEioYyflpY,1,mphaseSATm,243.63,ok
InQYNZwvfKcEioYyflpY,1,satime11,1200,timeout
InQYNZwvfKcEioYyflpY,1,tnm,1200,timeout
InQYNZwvfKcEioYyflpY,1,mxc09,989.13,ok
InQYNZwvfKcEioYyflpY,1,gnoveltyp2,1200,timeout
InQYNZwvfKcEioYyflpY,1,sattime,1200,timeout
InQYNZwvfKcEioYyflpY,1,sattimep,1200,timeout
InQYNZwvfKcEioYyflpY,1,clasp2,84.87,ok
InQYNZwvfKcEioYyflpY,1,clasp1,43.01,ok
InQYNZwvfKcEioYyflpY,1,picosat,1200,timeout
InQYNZwvfKcEioYyflpY,1,mphaseSAT,176.08,ok
InQYNZwvfKcEioYyflpY,1,sapperlot,216.02,ok
InQYNZwvfKcEioYyflpY,1,sol,612.62,ok
AkAZuVjpRYFaOXTGDYUw,1,ebglucose,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,ebminisat,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,glucose2,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,glueminisat,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,lingeling,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,lrglshr,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,minisatpsm,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,mphaseSAT64,261.97,ok
AkAZuVjpRYFaOXTGDYUw,1,precosat,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,qutersat,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,rcl,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,restartsat,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,cryptominisat2011,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,spear-sw,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,spear-hw,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,eagleup,435.16,ok
AkAZuVjpRYFaOXTGDYUw,1,sparrow,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,marchrw,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,mphaseSATm,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,satime11,863.25,ok
AkAZuVjpRYFaOXTGDYUw,1,tnm,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,mxc09,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,gnoveltyp2,708.06,ok
AkAZuVjpRYFaOXTGDYUw,1,sattime,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,sattimep,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,clasp2,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,clasp1,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,picosat,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,mphaseSAT,308.38,ok
AkAZuVjpRYFaOXTGDYUw,1,sapperlot,1200,timeout
AkAZuVjpRYFaOXTGDYUw,1,sol,1200,timeout
ZCCMRkVWafiEPkwLsKgk,1,ebglucose,0.06,ok
ZCCMRkVWafiEPkwLsKgk,1,ebminisat,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,glucose2,0.12,ok
ZCCMRkVWafiEPkwLsKgk,1,glueminisat,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,lingeling,0.17,ok
ZCCMRkVWafiEPkwLsKgk,1,lrglshr,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,minisatpsm,0.1,ok
ZCCMRkVWafiEPkwLsKgk,1,mphaseSAT64,0.22,ok
ZCCMRkVWafiEPkwLsKgk,1,precosat,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,qutersat,0.14,ok
ZCCMRkVWafiEPkwLsKgk,1,rcl,0.16,ok
ZCCMRkVWafiEPkwLsKgk,1,restartsat,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,cryptominisat2011,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,spear-sw,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,spear-hw,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,eagleup,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,sparrow,0.01,ok
ZCCMRkVWafiEPkwLsKgk,1,marchrw,0.21,ok
ZCCMRkVWafiEPkwLsKgk,1,mphaseSATm,0.07,ok
ZCCMRkVWafiEPkwLsKgk,1,satime11,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,tnm,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,mxc09,0.08,ok
ZCCMRkVWafiEPkwLsKgk,1,gnoveltyp2,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,sattime,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,sattimep,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,clasp2,0.03,ok
ZCCMRkVWafiEPkwLsKgk,1,clasp1,0.04,ok
ZCCMRkVWafiEPkwLsKgk,1,picosat,0,ok
ZCCMRkVWafiEPkwLsKgk,1,mphaseSAT,0.07,ok
ZCCMRkVWafiEPkwLsKgk,1,sapperlot,0.02,ok
ZCCMRkVWafiEPkwLsKgk,1,sol,6.28,ok
QDVTyLKOeMMtiWdpPWMp,1,ebglucose,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,ebminisat,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,glucose2,1075,ok
QDVTyLKOeMMtiWdpPWMp,1,glueminisat,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,lingeling,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,lrglshr,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,minisatpsm,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,mphaseSAT64,125.88,ok
QDVTyLKOeMMtiWdpPWMp,1,precosat,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,qutersat,862.24,ok
QDVTyLKOeMMtiWdpPWMp,1,rcl,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,restartsat,1051.8,ok
QDVTyLKOeMMtiWdpPWMp,1,cryptominisat2011,1008.3,ok
QDVTyLKOeMMtiWdpPWMp,1,spear-sw,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,spear-hw,980.67,ok
QDVTyLKOeMMtiWdpPWMp,1,eagleup,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,sparrow,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,marchrw,10.09,ok
QDVTyLKOeMMtiWdpPWMp,1,mphaseSATm,49.57,ok
QDVTyLKOeMMtiWdpPWMp,1,satime11,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,tnm,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,mxc09,399.39,ok
QDVTyLKOeMMtiWdpPWMp,1,gnoveltyp2,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,sattime,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,sattimep,1200,timeout
QDVTyLKOeMMtiWdpPWMp,1,clasp2,166.7,ok
QDVTyLKOeMMtiWdpPWMp,1,clasp1,168.2,ok
QDVTyLKOeMMtiWdpPWMp,1,picosat,105.44,ok
QDVTyLKOeMMtiWdpPWMp,1,mphaseSAT,176.52,ok
QDVTyLKOeMMtiWdpPWMp,1,sapperlot,971.99,ok
QDVTyLKOeMMtiWdpPWMp,1,sol,1200,timeout
ynJwouobtOmHCwfjUews,1,ebglucose,1200,timeout
ynJwouobtOmHCwfjUews,1,ebminisat,1200,timeout
ynJwouobtOmHCwfjUews,1,glucose2,1200,timeout
ynJwouobtOmHCwfjUews,1,glueminisat,1200,timeout
ynJwouobtOmHCwfjUews,1,lingeling,1200,timeout
ynJwouobtOmHCwfjUews,1,lrglshr,1200,timeout
ynJwouobtOmHCwfjUews,1,minisatpsm,1200,timeout
ynJwouobtOmHCwfjUews,1,mphaseSAT64,1200,timeout
ynJwouobtOmHCwfjUews,1,precosat,1200,timeout
ynJwouobtOmHCwfjUews,1,qutersat,1200,timeout
ynJwouobtOmHCwfjUews,1,rcl,1200,timeout
ynJwouobtOmHCwfjUews,1,restartsat,1200,timeout
ynJwouobtOmHCwfjUews,1,cryptominisat2011,1200,timeout
ynJwouobtOmHCwfjUews,1,spear-sw,1200,timeout
ynJwouobtOmHCwfjUews,1,spear-hw,1200,timeout
ynJwouobtOmHCwfjUews,1,eagleup,1200,timeout
ynJwouobtOmHCwfjUews,1,sparrow,1200,timeout
ynJwouobtOmHCwfjUews,1,marchrw,1200,timeout
ynJwouobtOmHCwfjUews,1,mphaseSATm,1200,timeout
ynJwouobtOmHCwfjUews,1,satime11,1200,timeout
ynJwouobtOmHCwfjUews,1,tnm,1200,timeout
ynJwouobtOmHCwfjUews,1,mxc09,1200,timeout
ynJwouobtOmHCwfjUews,1,gnoveltyp2,1200,timeout
ynJwouobtOmHCwfjUews,1,sattime,1200,timeout
ynJwouobtOmHCwfjUews,1,sattimep,1200,timeout
ynJwouobtOmHCwfjUews,1,clasp2,1200,timeout
ynJwouobtOmHCwfjUews,1,clasp1,1200,timeout
ynJwouobtOmHCwfjUews,1,picosat,1200,timeout
ynJwouobtOmHCwfjUews,1,mphaseSAT,1200,timeout
ynJwouobtOmHCwfjUews,1,sapperlot,1200,timeout
ynJwouobtOmHCwfjUews,1,sol,1.82,ok
LnYngfyNvdEhnVUBQwZV,1,ebglucose,258.99,ok
LnYngfyNvdEhnVUBQwZV,1,ebminisat,394.35,ok
LnYngfyNvdEhnVUBQwZV,1,glucose2,104.5,ok
LnYngfyNvdEhnVUBQwZV,1,glueminisat,100.53,ok
LnYngfyNvdEhnVUBQwZV,1,lingeling,90.5,ok
LnYngfyNvdEhnVUBQwZV,1,lrglshr,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,minisatpsm,122.26,ok
LnYngfyNvdEhnVUBQwZV,1,mphaseSAT64,248.84,ok
LnYngfyNvdEhnVUBQwZV,1,precosat,123.74,ok
LnYngfyNvdEhnVUBQwZV,1,qutersat,370.96,ok
LnYngfyNvdEhnVUBQwZV,1,rcl,397.72,ok
LnYngfyNvdEhnVUBQwZV,1,restartsat,392.9,ok
LnYngfyNvdEhnVUBQwZV,1,cryptominisat2011,488.86,ok
LnYngfyNvdEhnVUBQwZV,1,spear-sw,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,spear-hw,393.39,ok
LnYngfyNvdEhnVUBQwZV,1,eagleup,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,sparrow,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,marchrw,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,mphaseSATm,209.57,ok
LnYngfyNvdEhnVUBQwZV,1,satime11,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,tnm,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,mxc09,124.24,ok
LnYngfyNvdEhnVUBQwZV,1,gnoveltyp2,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,sattime,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,sattimep,1200,timeout
LnYngfyNvdEhnVUBQwZV,1,clasp2,121.08,ok
LnYngfyNvdEhnVUBQwZV,1,clasp1,131.51,ok
LnYngfyNvdEhnVUBQwZV,1,picosat,821.32,ok
LnYngfyNvdEhnVUBQwZV,1,mphaseSAT,210.59,ok
LnYngfyNvdEhnVUBQwZV,1,sapperlot,920.3,ok
LnYngfyNvdEhnVUBQwZV,1,sol,299.65,ok
aSvNbQEQSMuzwYaUOILA,1,ebglucose,335.39,ok
aSvNbQEQSMuzwYaUOILA,1,ebminisat,174.85,ok
aSvNbQEQSMuzwYaUOILA,1,glucose2,77.83,ok
aSvNbQEQSMuzwYaUOILA,1,glueminisat,19.5,ok
aSvNbQEQSMuzwYaUOILA,1,lingeling,359.17,ok
aSvNbQEQSMuzwYaUOILA,1,lrglshr,120.96,ok
aSvNbQEQSMuzwYaUOILA,1,minisatpsm,808.66,ok
aSvNbQEQSMuzwYaUOILA,1,mphaseSAT64,57.95,ok
aSvNbQEQSMuzwYaUOILA,1,precosat,23.61,ok
aSvNbQEQSMuzwYaUOILA,1,qutersat,96.41,ok
aSvNbQEQSMuzwYaUOILA,1,rcl,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,restartsat,135.62,ok
aSvNbQEQSMuzwYaUOILA,1,cryptominisat2011,119.26,ok
aSvNbQEQSMuzwYaUOILA,1,spear-sw,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,spear-hw,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,eagleup,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,sparrow,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,marchrw,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,mphaseSATm,50.82,ok
aSvNbQEQSMuzwYaUOILA,1,satime11,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,tnm,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,mxc09,31.75,ok
aSvNbQEQSMuzwYaUOILA,1,gnoveltyp2,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,sattime,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,sattimep,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,clasp2,360.99,ok
aSvNbQEQSMuzwYaUOILA,1,clasp1,334.2,ok
aSvNbQEQSMuzwYaUOILA,1,picosat,326.14,ok
aSvNbQEQSMuzwYaUOILA,1,mphaseSAT,50.73,ok
aSvNbQEQSMuzwYaUOILA,1,sapperlot,1200,timeout
aSvNbQEQSMuzwYaUOILA,1,sol,1200,timeout
duDIOOvrEhepfWONjTbH,1,ebglucose,1200,timeout
duDIOOvrEhepfWONjTbH,1,ebminisat,1200,timeout
duDIOOvrEhepfWONjTbH,1,glucose2,1200,timeout
duDIOOvrEhepfWONjTbH,1,glueminisat,1200,timeout
duDIOOvrEhepfWONjTbH,1,lingeling,1200,timeout
duDIOOvrEhepfWONjTbH,1,lrglshr,1200,timeout
duDIOOvrEhepfWONjTbH,1,minisatpsm,1200,timeout
duDIOOvrEhepfWONjTbH,1,mphaseSAT64,1200,timeout
duDIOOvrEhepfWONjTbH,1,precosat,1200,timeout
duDIOOvrEhepfWONjTbH,1,qutersat,1200,timeout
duDIOOvrEhepfWONjTbH,1,rcl,1200,timeout
duDIOOvrEhepfWONjTbH,1,restartsat,1200,timeout
duDIOOvrEhepfWONjTbH,1,cryptominisat2011,1200,timeout
duDIOOvrEhepfWONjTbH,1,spear-sw,1200,timeout
duDIOOvrEhepfWONjTbH,1,spear-hw,1200,timeout
duDIOOvrEhepfWONjTbH,1,eagleup,46.27,ok
duDIOOvrEhepfWONjTbH,1,sparrow,31.24,ok
duDIOOvrEhepfWONjTbH,1,marchrw,1200,timeout
duDIOOvrEhepfWONjTbH,1,mphaseSATm,1200,timeout
duDIOOvrEhepfWONjTbH,1,satime11,141.56,ok
duDIOOvrEhepfWONjTbH,1,tnm,12.26,ok
duDIOOvrEhepfWONjTbH,1,mxc09,1200,timeout
duDIOOvrEhepfWONjTbH,1,gnoveltyp2,15.08,ok
duDIOOvrEhepfWONjTbH,1,sattime,37.76,ok
duDIOOvrEhepfWONjTbH,1,sattimep,1200,timeout
duDIOOvrEhepfWONjTbH,1,clasp2,1200,timeout
duDIOOvrEhepfWONjTbH,1,clasp1,1200,timeout
duDIOOvrEhepfWONjTbH,1,picosat,1200,timeout
duDIOOvrEhepfWONjTbH,1,mphaseSAT,1200,timeout
duDIOOvrEhepfWONjTbH,1,sapperlot,1200,timeout
